,TestCaseID,Host,Display,Peripheral,ExpectedSales,ExpectedCommission,备注,ActualCommission,ActualSales,flag
0,1,0,40,45,error,error,主机的边界测试,error,error,True
1,2,1,10,10,775,77.5,主机的边界测试,77.5,775,False
2,3,2,10,10,800,80,主机的边界测试,80.0,800,False
3,4,69,10,10,2475,247.5,主机的边界测试,495.0,2475,False
4,5,70,10,10,2500,250,主机的边界测试,500.0,2500,False
5,6,71,10,10,error,error,主机的边界测试,error,error,True
6,7,10,0,10,error,error,显示器的边界测试,error,error,True
7,8,10,1,10,730,73,显示器的边界测试,73.0,730,False
8,9,10,2,10,760,76,显示器的边界测试,76.0,760,False
9,10,10,79,10,3070,307,显示器的边界测试,614.0,3070,False
10,11,10,80,10,3100,310,显示器的边界测试,620.0,3100,False
11,12,10,81,45,error,error,显示器的边界测试,error,error,True
12,13,10,10,0,error,error,外设的边界测试,error,error,True
13,14,10,10,1,595,59.5,外设的边界测试,59.5,595,False
14,15,10,10,2,640,64,外设的边界测试,64.0,640,False
15,16,10,10,89,4555,455,外设的边界测试,911.0,4555,False
16,17,10,10,90,4600,460,外设的边界测试,920.0,4600,False
17,18,10,10,91,error,error,外设的边界测试,error,error,True
18,19,10,10,20,1450,145,正常值,217.5,1450,False
